Market,Code,Company Name,Place of Incorporation of Foreign Companies,Industry,Symbol,Date of Listing,Chairman,General Manager,Spokesman,Title of Spokesman,Fiscal Year_end,Accounting Firm,CPA (Chartered Public Accountant)1,CPA (Chartered Public Accountant)2,Address,Telephone,Fax,Email Address,Web Address,Investor Relations Contact Person,Title of IR Contact Person,Telephone of IR Contact Person,Email Address of IR Contact Person
Listed Company,1402,Far Eastern New Century Corporation,－,Textiles,FENC,1967/04/14,Douglas Tong Hsu,"K.S. Wu, Humphrey Cheng",Humphrey Cheng,Corporate Management President,DEC 31,Deloitte & Touche Taiwan,Kuo-Ning Huang,Chih-Ming Shao,"36F,Taipei Metro Tower No.207,Tun Hwa South Road,Sec.2 Taipei,Taiwan,R.O.C.",02-27338000,02-27367184,csostaff@metro.feg.com.tw,www.fenc.com,Carol Wang,Director,02-27338000轉8537,ir@fenc.com
Listed Company,1409,SHINKONG SYNTHETIC FIBERS CORPORATION,－,Textiles,SSFC,1973/08/31,WU TONG SHENG,Chin Ta Ou,Yu Lin Hsu,Division General Manager,DEC 31,Deloitte & Touche,"Chen, Wen-Hsiang","Shyu, Wen-Yea","5th Floor, No. 136, Section 3, Ren'ai Road, Taipei City. TAIPEI, TAIWAN, R.O.C.",25071259,25072264,analysis@shinkong.com.tw,https://www.shinkong.com.tw/,Yu Lin Hsu,Division General Manager,25071259#7300,analysis@shinkong.com.tw
Listed Company,1410,"NAN YANG DYEING & FINISHING CO.,LTD",－,Textiles,NYDF,1973/10/18,June Ho,Chen Rong Ho,Ai Yu Chang,company spokesman,DEC 31,KPMG,Sheng-Ho Yu,Lisa Luo,"No.233, Sec. 3, Nanshan Rd., Luzhu Dist., Taoyuan City 338, Taiwan",02-25940361,02-25919227,nydyeing@ms19.hinet.net,www.nydf.com.tw,Ai Yu Chang,company spokesman,02-25940361,nydyeing@ms19.hinet.net
Listed Company,1413,"HUNG CHOU FIBER IND. CO., LTD",－,Textiles,H.C.,1975/12/23,CHAN CHENG-TIEN,CHAN CHENG-TIEN,Albert Chang,DIRECTOR,DEC 31,KPMG,Pan Chun Ming,Maggie Chang,"7F., No.607, Ruiguang Rd., Neihu Dist., Taipei City 114, Taiwan (R.O.C.) TAIPEI TAIWAN",2657-5859,8797-7888,wallace@hungchou.com.tw,http://www.hungchou.com.tw/,Albert Chang,DIRECTOR,02-26575859,albert@yijinn.com.tw
Listed Company,1414,"Tung Ho Textile Co., Ltd.",－,Textiles,TUNG HO,1976/02/02,TSAI SUI-YING,Chia-Heng Chang,Chia-Heng Chang,General Manager,DEC 31,Deloitte & Touche,"MA, WEI-CHUN","HSIEH,TUNG-JU","13TH FLOOR NO376,SEC 4 JEN AI ROAD TAIPEI,TAIWAN,R.O.C",(02)27001840,(02)27060967,admsect@tungho.com.tw,www.tungho.com.tw,Yen-Liang Kuo,Assistant manager,(02)27001840,david@tungho.com.tw
Listed Company,1416,KWONG FONG INDUSTRIES CORPORATION,－,Other,KFIC,1976/04/20,Leo Ho,"Liu,Chia Cheng","Chen,Su-Ching",Accounting Manager,DEC 31,PricewaterhouseCoopers Taiwan,"LAI, CHUNG-HSI","CHIH, PING-CHIUN","28th Floor, No. 97, Section 2, Dunhua South Road, Da'an District, Taipei City( Taipei,Taiwan",02-27048111,02-27061881,s.j.chern@kfic.com.tw,www.kfic.com.tw,"Chen,Su-Ching",Accounting Manager,02-27048111#828,s.j.chern@kfic.com.tw
Listed Company,1417,CARNIVAL INDUSTRIAL CORPORATION,－,Textiles,CARNIVAL,1976/12/28,Chen Sheng,Chen Ying-Chang,Chen Ying- Chang,General manager,DEC 31,DELOITTE & TOUCHE,Lilac Shue,Peide Chen,"7TH FL.,25 JEN AI ROAD.SEC.4 TAIPEI,TAIWAN,R.O.C.",27113171,27811045,investor@carnival.com.tw,https://www.carnival.com.tw/index.php?lang=tw,Wang Jen-Fu,senior manager,02-27113171,investor@carnival.com.tw
Listed Company,1418,TongHwa Corporation,－,Textiles,TongHwa,1977/02/14,"LIN,CHUANG-JU","LIN,CHUANG-YEH","YEH, YEN-LING",ASSISTANT MANAGER,DEC 31,Baker Tilly Clock & Co,WU HSIN-LIANG,LAI CHIA-YU,"9F., No.56, Sec. 1, Xinsheng S. Rd., Taipei City 100, Taiwan (R.O.C.)",(02)23967768,(02)23962568,thsf@ms22.hinet.net,www.tonghwa.com.tw,"YEH, YEN-LING",ASSISTANT MANAGER,(02)23967768,thsf@ms22.hinet.net
Listed Company,1419,"SHINKONG TEXTILE CO.,LTD",－,Textiles,SHINKO.TEXTILE,1977/03/14,"Wu, Hsing En","Chang, Shu-Ti/ Chang, Jui-Nan","Chang, Shu-Ti",President,DEC 31,Deloitte & Touche,"KUO,NAI-HUA","WENG,PO-JEN","15F., No. 44, Sec. 2, Zhongshan N. Rd. TAIPEI.TAIWAN.R.O.C",(02)25071258,(02)25072576,marketing@sktextile.com.tw,http://www.sktextile.com.tw,"Chang, Shu-Ti",President,(02)25071258-854,shuti@sktextile.com.tw
Listed Company,1423,REWARD WOOL INDUSTRY CORPORATION,－,Textiles,REWARD WOOL,1979/04/02,Rosa R. King,C. C. HUNG,C. C. HUNG,General Manager,DEC 31,ERNST&YOUNG,Muriel Yu,Ian Wang,"12th Floor, 310 Sec. 4, Chung Hsiao East Road Taipei, 106 , Taiwan, R. O. C.",02-27811161,02-27521193,reward@reward.com.tw,www.reward.com.tw,Yang Tsun-Wu,Manager,886-2-27811161,ir@reward.com.tw
Listed Company,1432,TRK Corporation,－,Sports and Leisure,TAROKO,1982/07/26,"Lin, Man Li","WANG, YING-CHIH","Hsu, Jerry",Consultant,DEC 31,PriceWaterhouseCoopers,"Wang, Fang-Yu","Lin, Kuan-Hung","No186, Sec 4, Fusing Rd., East Dist., Taichung, Taiwan, R.O.C.",0436118888,0436080809,will.chen@trkmall.com.tw,https://www.taroko.com.tw/,"Hsu, Jerry",Consultant,0436118888,kelly.lo@trkmall.com.tw
Listed Company,1434,"FORMOSA TAFFETA CO., LTD.",－,Textiles,F.T.C,1985/12/24,"WONG , WEN-YUAN","LEE , MING-CHANG","LEE , MING-CHANG",President,DEC 31,PricewaterhouseCoopers,Juanlu Man Yu,"Hsu, Sheng-Chung","2F., No.388, Sec.6, Nanjing East Rd. Neihu Dist. Taipei City 114030",(05)5573966,2713-1329,t1000@ftc.com.tw,https://www.ftc.com.tw,"CHENG, HUNG-NING",Vice President,(05)5573966轉7161,u133232@ftc.com.tw
Listed Company,1435,CHUNG FU TEX-INTERNATIONAL CORPORATION,－,Other,C.F.CORP.,1987/12/28,"CHEN,CHIEN","LU,JUNG-MU","CHEN,CHIEN",Chairman,DEC 31,"Crown & Co., CPAs","Chang, Chin-Te","Chu, Shu-Mei","2FL., No. 666, JING PING RD., ZHONGHE DIST,NEWTAIPEI CITY, R.O.C.",(02)82422881,(02)22457595,ir@chungfutex.com.tw,www.chungfutex.com.tw,"CHEN,CHIEN",General Manager,(02)82422881,ir@chungfutex.com.tw
Listed Company,1436,"HUA YU LIEN Development Co., Ltd.",－,Building Material and Construction,HUA YU LIEN,1988/04/11,Lu Chao-Ting,Lu Chao-Ting,Wu Chia-Te,Vice President,DEC 31,Deloitte & Touche,Chen Hsiu Wen,Wang Chao Chun,"11F., No. 85,Wenlong Rd.,Fengshan Dist., Kaohsiung City, Taiwan (R.O.C.)",(07)780-1381,(07)777-7398,steven@huakai.com.tw,www.huakai.com.tw,Steven Lin,Vice President,(07)780-1381,steven@huakai.com.tw
Listed Company,1437,GTM HOLDINGS CORPORATION,－,Other,GTM,1988/11/10,Likai Gu,LiKai Gu,Doreen Feng,Accounting A.V.P,DEC 31,KPMG Certified Public Accountants,Stanley Wu,Lily Lu,"9F,320 Zhong Xiao E. Rd. Sec.4,Taipei, Taiwan 10694 Taipei Taiwan R.O.C",(02)2741-5000,(02)2776-5073,gtm@gtm.com.tw,http://www.gtm.com.tw,Doreen Feng,Accounting A.V.P,(02)2741-5000,gtm@gtm.com.tw
Listed Company,1438,"SanDi Properties Co., Ltd.",－,Building Material and Construction,SanDi,1988/12/15,Chung Yu-Lin,Chuan Chun-Yu,Chung Yu-Lin,Chairman,DEC 31,KPMG,"Yu-Lun, Kao","Yung-Hsiang, Chen","16F.-3, No. 175, Zhongzheng 2nd Rd., Lingya Dist., Kaohsiung City 802",(07)2259599,(07)2256099,yufoongb@ms37.hinet.net,http://www.sandirealestate.com.tw/,Chuan Chun-Yu,General manager,(07)2259599,yufoongb@ms37.hinet.net
Listed Company,1439,"ASCENT DEVELOPMENT CO., LTD.",－,Building Material and Construction,ASCENT,1989/05/22,"Ho, Michelle","Liu, Sharon","Yeh, Ping-Hui",Financial and Accounting Dept. Manager,DEC 31,PwC Taiwan,"Yi-Chang, Liang","Chi-Tung, Chen","11F., No. 170, Jingmao 1st Rd., Nangang Dist., Taipei 115018, Taiwan (R.O.C.)",(02)27566777,(02)27531999,ir@ascentglobal.com.tw,https://www.ascentglobal.com.tw/,"Yeh, Ping-Hui",Financial and Accounting Dept. Manager,(02)27566777,ir@ascentglobal.com.tw
Listed Company,1440,"TAINAN SPINNING CO. , LTD.",－,Textiles,TAINAN SPINNING,1989/10/03,"Hou,Po-Ming","Chiang, Chun-Mou","Su, Kuan-Min","Assistant Vice President, President's Office",DEC 31,Pricewaterhouse Coopers,"Tien, Chung-Yu","Hsu, Huei-Yu","No. 511, Yunong Rd. , East Dist. , Tainan City, Taiwan (R. O. C.)",(06)2376161,(06)2361156,general@tainanspin.com.tw,https://www.tainanspin.com.tw/,"Lin, Chi-Chieh","Assistant Vice President, Financial Department",(06)2376161#301,lccfinance@tainanspin.com.tw
Listed Company,1441,"TAH TONG TEXTILE CO., LTD.",－,Textiles,TAH TONG,1989/10/27,CHEN SHIOU CHUNG,CHEN CHIEN CHOAN,CHEN CHIEN CHOAN,President,DEC 31,PricewaterhouseCoopers Taiwan,"LIN,YA-HUI","LIN,YUNG-CHIH","No. 346, 3/F, Sec. 3, Nanking E. Rd.,Taipei,Taiwan 105 TAIPEI,TAIWAN R.O.C.",(02)27522244,(02)27718186,spokesperson@tahtong.com.tw,www.tahtong.com.tw,YC Andrew,Director and Special Assistant to the Chairman's Office,(02)2752-2244#290,spokesperson@tahtong.com.tw
Listed Company,1442,"ADVANCETEK ENTERPRISE CO.,LTD.",－,Building Material and Construction,ADVANCETEK,1989/11/16,Hung-Ying Wu,Sheng-Li Wu,Sheng-Li Wu,General Manager,DEC 31,Earnest & Company CPAS,Wen-Ting Hsiang,Lien-Sheng Lu,"8F., No. 218, Sec. 3, Zhonghua Rd. Xinzhuang Dist., New Taipei City, Taiwan",82922288,82925561,servicemail@advancetek.com.tw,https://www.advancetek.com.tw,Hui-Chin Huang,Assistant Vice President,82922288#688,hchuang@advancetek.com.tw
Listed Company,1443,"LILY TEXTILE CO., LTD.",－,Other,LILYTEXTILE,1990/04/21,"SU,TUNG YUNG","SU,CHIN YUAN","SU,TUNG YUNG",CHAIRMAN,DEC 31,FIRST UNITED CPA OFFICE,"JASON CHIU,CPA","DAVID WANG,PARTNER","6TH FLOOR 70,HSI NING NORTH ROAD. TAIPEI,TAIWAN,R.O.C",(02)25557680,(02)25587492,lily161@ms31.hinet.net,www.lily.com.tw,"WANG,CHIEN CHUNG",ASSISTANT VICE MANAGER,(02)25598230,lily161@ms31.hinet.net
Listed Company,1444,"LEALEA ENTERPRISE CO.,LTD",－,Textiles,LEALEA,1990/08/08,"KUO, SHAO-YI","CHEN, HAN-CHING","CHEN, HAN-CHING",President,DEC 31,Deloitte & Touche,"HUANG, I-MIN","HONG, GUO-TIAN","11F,NO.162,SUNG CHIANG RD., TAIPEI,TAIWAN,R.O.C",(02)2100-2888,(02)2100-1352,srd0e8@lipeng.com.tw,https://www.lealeagroup.com.tw/,"CHEN, HAN-CHING",President,(02)2100-2888#1105,chihtn@lealea.com.tw
Listed Company,1445,"UNIVERSAL TEXTILE CO., LTD.",－,Textiles,UNIVERSAL,1991/02/05,"Chen,Yao -Ming","Yang, Jen-Kai","Yang, Jen-Kai",PRESIDENT,DEC 31,Ernst & Young,Jean Huang,Henry Liu,7/F 62-5 SINING N. ROAD TAIPEI TAIWAN R.O.C.,2552-3977,02-25521969,Lyc@universal-tex.com,www.universal-tex.com,"LIN,YU CHIN",SENIOR MANAGER,02-25523977#710,Lyc@universal-tex.com
Listed Company,1446,"HONG HO PRECISION TEXTILE CO.,LTD.",－,Textiles,HONG HO,1991/10/15,"HUANG, TA-KUNG","HO,TEN-MING",CHANG TSANG YU,MANAGER,DEC 31,ERNST&YOUNG,Mink Hu,Jemmy Yao,"No.473, Zhongshan S. Rd., Yongkang Dist., Tainan City , Taiwan",06-2333133,06-2332133,u1081@hongho.com.tw,www.hongho.com.tw,CHANG TSANG YU,MANAGER,06-2333133,u0904@hongho.com.tw
Listed Company,1447,"LI PENG ENTERPRISE CO., LTD.",－,Textiles,LP,1992/01/28,"Kuo, Shao-yi","Tung,Min-hsiung","Chen, hen-ching",President,DEC 31,DELOITTE & TOUCHE,"Huang,I- min","Hong, kuo- tyan","6F,NO.162 SUNG CHIANG RD; TAIPEI,TAIWAN,R.O.C",(02)2100-2888,(02)2100-2688,lynn@lealea.com.tw,http://www.lipeng.com.tw,"Chen, hen-ching",President,02-21002888,chihtn@lealea.com.tw
Listed Company,1449,"CHIA HER INDUSTRIAL CO., LTD.",－,Textiles,CHIA HER,1992/05/06,"WONG, CHASE WEI-HSING","WONG, CHASE WEI-HSING",Weng wei chun,Assistant manager,DEC 31,KPMG Certified Public Accountants,Terry Su,Vincent Hsu,"No.207, San Sheh Tsun, Hsin Shih Hsiang Tainan Hsien, Taiwan,R.O.C",(06)7029961,(06)7029965,u110507@chgtex.com,www.chgtex.com,Weng wei chun,Assistant manager,(06)7029961#1350,u110507@chgtex.com
Listed Company,1451,"NIEN HSING TEXTILE CO., LTD.",－,Textiles,NIEN HSING,1992/12/21,"CHEN, WEI HAN","TSAI, SHU-HSUAN","TSAI, SHU-HSUAN",General Manager,DEC 31,DELOITTE & TOUCHE,"Chen, Yi-Ling","Hsin, You-Cheng","13F., No. 306, Sec. 1, Neihu Rd., Neihu Dist., Taipei City 114, Taiwan Taipei City 114, Taiwan (R.O.C.)",(02)26568888,(02)26568899,nienhsing@nhjeans.com,https://www.nhjeans.com/,"TSAI, SHU-HSUAN",General Manager,(02)2656-8888,nienhsing@nhjeans.com
Listed Company,1452,"HONG YI FIBER INDUSTRY CO., LTD.",－,Textiles,HONG YI,1992/12/28,Shwn-Shyan Shih,Qing-Rong Wang,Qing-Rong Wang,General Manager,DEC 31,BDO Taiwan,Jiunn-Huei Ko,Chun-Chun Chang,"6F, No. 66, Ta-cheng St. Taipei, Taiwan, R.O.C",02-25521191,02-25523610,hongyi@hongyilon.com.tw,http://www.hongyilon.com.tw,Hsiao-Yu Chang,Chief Financial Officer,02-25521191,hongyi@hongyilon.com.tw
Listed Company,1453,"TA JIANG CO., LTD.",－,Building Material and Construction,TA JIANG,1993/04/19,YEH YI HSIUNG,LIN CHING YI,YEH YI HSIUNG,CHAIRMAN,DEC 31,Deloitte & Touche,YANG JING TING,"ZHUNG, WEN-YUAN","6F,NO.71.SEC2 TUNG HWA SOUTH ROAD TAIPEI,TAIWAN TAIPEI ,TAIWAN,ROC",27069999,27061166,md.yu@tajiang.com.tw,www.tajiang.com.tw,"YU, MING-TE",CONTROLLER,(02)27069999,md.yu@tajiang.com.tw
Listed Company,1454,"TAIWAN TAFFETA FABRIC CO., LTD",－,Textiles,TTF,1993/05/07,Juang Iao-Ming,Juang Iao-Ming,Hua Shu-ling,Manager,DEC 31,Deloitte & Touche Audit,Wang Pan Fa,Tsung Chien Ming,8F.70-1 HSI-NING NORTH ROAD TAIPEI TAIWAN,02-25568282,02-25500501,iris@ttfco.com,http://www.ttfco.com,Wu Chang-Chih,Manager,02-25568282,c.j.wu@ttfco.com
Listed Company,1455,"ZIG SHENG IND. CO., LTD",－,Textiles,ZIG SHENG,1993/10/07,"PAT-HUANG,SU","PI-LU,YEH",BARRY SU,PRESIDENT,DEC 31,CROWE HORWATH (TW) CPA OFFICE,"KUI - MEI , CHEN","CHIH-LUNG ,LIN","2ND FL 70 SHI-NING N RD. TAIPEI,TAIWAN, R.O.C.",02-25557151,02-25503740,jason_kuo@zigsheng.com,www.zigsheng.com,SHIH-CHENG KAO,GENERAL ADMINISTRATION Dev.SENIOR ASSISTANT VICE PRESIDENT,25557151-8006,jason_kuo@zigsheng.com
Listed Company,1456,"I-HWA INDUSTRIAL CO.,LTD",－,Building Material and Construction,I-HWA,1993/12/09,Huang Shin Hao,Huang Shin Hao,Shih.Hao Li,General Manager,DEC 31,KPMG Taiwan,Geraltine Huang,Leo Chi,"12F-1,NO.392,SEC.1 NEI-HU RD.,TAIPEI 114,TAIWAN,R.O.C. TAIPEI,TAIWAN",02-87978780,(02)87978106,haul@ybworld.com.tw,http://www.ihwa.com.tw,Shih.Hao Li,General Manager,02-87978780,haul@ybworld.com.tw
Listed Company,1457,"YI JINN INDUSTRIAL CO.,LTD",－,Textiles,YI JINN,1994/10/20,Chan Cheng Tien,Weng Mao Cheng,Albert Chang,Deputy General Manager,DEC 31,KPMG Certified Public Accountants,Pan Chun-Ming,Chang Shu-Ying,"7F., No.607, Ruiguang Rd., TAIPEI,TAIWAN",(02)26575859,(02)87978898,yijinn@ms8.hinet.net,www.yijinn.com.tw,Albert Chang,Deputy General Manager,(02)26575859-530,albert@yijinn.com.tw
Listed Company,1459,"LAN FA TEXTILE CO.,LTD.",－,Textiles,LAN FA,1994/10/26,CHING-TSE YEH,Carlo Wang,Carlo Wang,General manager,DEC 31,Deloitte & Touche,Connie Chen,Rich Chih,"5-5FL,No.73,HUAN HO N. RD.,SEC.1 TAIPEI.TAIWAN. R.O.C.",(02)2552-1255,(02)2552-7037,tpe_hr@lanfa.com.tw,www.lanfa.com.tw,Carlo Wang,General manager,(02)25521255,tpe_hr@lanfa.com.tw
Listed Company,1460,"EVEREST TEXTILE CO.,LTD",－,Textiles,EVEREST,1995/04/28,Hsi Jar-Yi,To be decided,brian lee,chief administrative officer,DEC 31,DELOITTE,Sophie Lee,Jammy Yang,"No.256 Minghe Vil.,Shanshang Dist Tainan City, Taiwan ROC",(06)5782561,06-5782864,tnan.lu@everest.com.tw,https://www.everest.com.tw/tw,brian lee,chief administrative officer,(06)5782561,brian.lee@everest.com.tw
Listed Company,1463,"CHYANG SHENG TEXING CO., LTD.",－,Textiles,CST,1996/12/05,Hon Kit Shing,Jeffrey Shee Chee Cheung,Eric Cheng,Vice President,DEC 31,KPMG CERTIFIED PUBLIC ACCOUNTANTS,May Huang,Vincent Yu,"6F,63 SEC. 1,DI-HWA ST., TAIPEI, TAIWAN, R.O.C",(02)25556866,(02)25567160,public@csgroup.com.tw,www.csgroup.com.tw,Eric Cheng,Vice President,(02)25556866,ericcheng@csgroup.com.tw
Listed Company,1464,"DE LICACY INDUSTRIAL CO., LTD.",－,Textiles,DE LICACY,1997/01/18,YEH CHIA MING,YOU YI NENG,YOU YI NENG,GENERAL MANAGER,DEC 31,Deloitte Touch Tohmatsu,Liao Hung-Ju,Wang Teng-Wei,"No. 820, Fuxing Rd., Xinshi Dist., Tainan City 744007 , Taiwan (R.O.C.)",06-5992866,06-5996798,tainan@delicacy.com.tw,www.delicacy.com.tw,CHU YIN CHU,MANAGER,06-5992866-201,chuchu5811@delicacy.com.tw
Listed Company,1465,"WISHER INDUSTRIAL CO., LTD.",－,Textiles,WISHER,1997/09/08,"CHEN,CHIAN-CHUN","CHEN,CHIAN-CHUN","TSENG,CHAO-HSUN",Vice General Manager,DEC 31,BDO Taiwan Union & C. Certified Public Accountants,LIU KE-YI,"HSU,KUN-HIS","6th FL., 62-5 Hsining N. Rd. Taipei, Taiwan , R. O. C.",02-25522174,02-25502121,service@wisher.com.tw,http://www.wisher.com.tw,"TSENG,CHAO-HSUN",Vice General Manager,02-25522174,tseng@wisher.com.tw
Listed Company,1466,Acelon chemicals & Fiber Corporation,－,Textiles,Acelon,1998/04/04,Wen-Tung Chou,Wen-Tung Chou,"Ming-Yi, Lai",Vice-president,DEC 31,EnWise CPAs & Co.,"LIAO, NIENCHIEH","CHEN, JINGYI",94 FAN CHIN ROAD PUYEN HSIANG CHANGHUA CHANG HUA，TAIWAN，R.O.C,886-4-8652321,886-4-8656171,service@acelon.com.tw,http://www.acelon.com.tw,"Mei-Hung, Chang",Financial Officer,886-4-7638869,cmh@acelon.com.tw
Listed Company,1467,"TEX-RAY INDUSTRIAL CO.,LTD.",－,Textiles,TEX-RAY,1998/12/21,LIN ZUI-YEH,LIN TSUNG-I,WU CHIEN CHUNG,CHIEF FINANCIAL OFFICER,DEC 31,KPMG,EMILY TSOU,TIM TZANG,"2F.NO426,LINSEN N.RD., TAIPEI CITY TAIWAN R.O.C.",02-25215155,02-25816558,info@texray.com,WWW.TEXRAY.COM,CHEN HSIU WEN,High Commissioner,02-25215155,pamela@texray.com
Listed Company,1468,CHANG HO FIBRE CORPORATION,－,Textiles,CHANG HO,1999/01/21,"CHEN,MING-TSE","CHEN,MING-TSE",Tso Wei Yeh,Deputy Manager of Finance Department,DEC 31,KPMG,Daisy Kuo,Samuel Au,"NO.277, NAN KAN ROAD, SEC.1, LU CHU SHIANG, TAOYUAN HSIEN, TAIWAN, R.O.C.",(02)2741-9299,(02)2752-2690,investor@chang-ho.com.tw,www.chang-ho.com.tw,Eric Wu,Accounting Manager,(02)2741-9299,investor@chang-ho.com.tw
Listed Company,1470,Evertex Fabrinology Ltd.,－,Textiles,EVERTEX,1999/05/21,YEH CHUAN FA,Tony Yeh,Hung Shian Jung,Deputy General Manager,DEC 31,Member of Deloitte Touche Tohmatsu,Yu Meng-Gui,Chang Keng-hsi,"4F,64,Ta Cheng ST. TAIPEI, TAIWAN.",02-25503266,02-25505080,alan.hung@evertex.tw,www.evertex.tw,Hung Shian Jung,Deputy General Manager,03-3222241,alan.hung@evertex.tw
Listed Company,1471,SOLYTECH ENTERPRISE CORPORATION,－,Electronic Parts/Components,SL,2000/03/06,Cheng Chieh,Cheng Hsiang,Chiu Chih Wei,Special Assistant of G.M.,DEC 31,PricewaterhouseCoopers,"WU,JEN-CHIEH","HU,CHIH-HUA","3F,NO.18 Wu Chun 7 Rd.,Wu Gu Industry Area Wu Gu Shiang,Taipei,Taiwan,R.O.C",(02)2299-1907,(02)2290-1974,sales@soly-tech.com,www.soly-tech.com,Chiu Chih Wei,Special Assistant of G.M.,(02)2299-1907,David_chiou@soly-tech.com
Listed Company,1472,"TRIOCEAN INDUSTRIAL CORPORATION CO., LTD.",－,Building Material and Construction,TRIOCEAN,2000/09/11,Chiang Yu-Lien,Hsu Cheng-Che,Hsu Cheng-Che,General manager,DEC 31,Deloitte & Touche,Jane Chen,Wen Chen,"No.360 Jiabao Road Dashe Dist., Kaohsiung City 815006",07-3560666,07-356-1256,admin@triocean.com.tw,triocean.com.tw,Hsu Cheng-Che,General manager,07-356-0666,spokesman@triocean.com.tw
Listed Company,1473,"TAINAN ENTERPRISES CO.,LTD",－,Textiles,TAINAN,2000/09/11,Tony Yang,Edward Su,Mike Wu,CFO,DEC 31,PRICE WATER HOUSE COOPERS,Chung-Yu Tien,Hsu Huei-Yu,"320 Sec.3,Chung Shan Road,Kuei Jen Hsiang,Tainan Hsien Taiwan R.O.C",06-2307911,06-2300112,contact@tai-nan.com,https://www.tai-nan.com/,Warren Tsai,Senior Manager,02-23916421-197,warren_tsai@tai-nan.com
Listed Company,1474,"HONMYUE ENTERPRISE CO., LTD.",－,Textiles,HONMYUE,2000/10/31,"YEH, PO YU","KUO, CHENG PEI",Hsu wei-fang,Deputy General Manager,DEC 31,PRICEWATERHOUSECOOPERS,"WANG, YU-CHUAN","HUNG, SHU-HUA","NO.60 KUNG HSI 1 RD.,HSI TI VILLAGE SHEN KANG HSIANG,CHANG HWA HSIEN,TAIWAN.",04-7994888,04-7994252,list1474@honmyue.com.tw,http://www.textile-hy.com.tw,Hsu wei-fang,Deputy General Manager,04-7994888#101,hsu@honmyue.com.tw
Listed Company,1475,"BIG SUNSHINE CO., LTD.",－,Textiles,BIG SUNSHINE,2000/10/27,"CHEN,CHING-TU","CHEN,KUN-MU","CHEN,CHING-TU",Chairman,DEC 31,PricewaterhouseCoopers,"YANG, HUI TZU","CHANG,SHU CHIUNG","10F.-4, No. 146, Wenxing Rd., Guishan Dist., Taoyuan City 333, Taiwan (R.O.C.)",03-2756558,03-3275365,contact@big-sunshine.com.tw,http://www.big-sunshine.com.tw,"YANG,CHING-CHIAO",financial manager and sub-spokesperson,03-2756558,contact@big-sunshine.com.tw
Listed Company,1476,"ECLAT TEXTILE CO., LTD.",－,Textiles,ECLAT,2001/04/18,Shu-Wen Wang,Jui-Ting Hung,Tiffany Lin,V.P. of Finance and Accounting Dep.,DEC 31,KPMG Certified Public Accountants,Hui-Chih Kou,Hsin-Yi Kuo,"No. 738, Zhongyang Rd., Xinzhuang Dist. New Taipei City, Taiwan",(02)2299-6000,(02)2299-5483,services@eclat.com.tw,http://www.eclat.com.tw,Tiffany Lin,Spokesperson and Vice President of Finance and Accounting Department,(02)2299-6000,tiffanylin@eclat.com.tw
Listed Company,1477,"Makalot Industrial Co., Ltd.",－,Textiles,Makalot,2003/01/21,Frank Chou,Alex Chou,Hengyu Lin,Director,DEC 31,KPMG Certified Public Accountants,"Yu, Chi-Lung","Lin, Heng-Shen","8F., 550, Sec. 4, Zhongxiao E. Rd., Taipei City 110, Taiwan, R.O.C.",23455588,23455590,pr@makalot.com.tw,www.makalot.com.tw,Jacky Huang,IR Manager,02-23455588,pr@makalot.com.tw
Listed Company,1503,Shihlin Electric & Engineering Corp.,－,Electric Machinery,SEEC,1969/12/15,Emmet Hsu,"Hsieh, Han-Chang","Cheng, Hsiang-Chih",Executive Senior Vice President,DEC 31,Deloitte &Touche,"Huang, Yao-Lin","Lee, Tung-Feng","FL.16, NO.88, SEC.6, CHUNG SHAN N. RD TAIPEI, TAIWAN, R.O.C.",02-2834-2662,02-2836-6187,fnd@seec.com.tw,www.seec.com.tw,"Lee, Ying-Chu",Chief of Staff,(02)2834-2662,ahkem@seec.com.tw
Listed Company,1504,"TECO ELECTRIC & MACHINERY CO., LTD.",－,Electric Machinery,TECO,1973/11/05,Morris Li,Kao Fei-yuan,Andy Chien,Director,DEC 31,Price Water House Coopers,"Tu, Zhan-Yuan","Xu, Sheng-Zhong","5F, NO.19-9,SAN CHONG RD. NAN-KANG TAIPEI TAIWAN",2655-3333,2655-2291,ir@teco.com.tw,http://www.teco.com.tw,Andy Chien,Directer,02-2655-3333,ir@teco.com.tw
Listed Company,1506,"RIGHT WAY INDUSTRIAL CO.,LTD",－,Electric Machinery,RIGHT WAY,1980/08/11,"HSIEH, LI-YUN",Lo Shih-Yi,Lo Shih-Yi,General manager,DEC 31,Deloitte & Touche,Sophie Lee,James C. Wu,"No. 1015, ZHONGZHENG W. RD., RENDE DIST., TAINAN CITY,TAIWAN R.O.C.",06-266 4101,06-266 4374,AG800000@rightway.tw,http://www.rightway.com.tw,Don Huang,Manager,06-2664101#1688,Don.Huang@rightway.tw
Listed Company,1512,"JUI LI ENTERPRISE CO.,LTD.",－,Automobile,JL,1994/01/28,WU MIN TSAN,Lin Wei Hui,Lin Wei Hui,President,DEC 31,PWC,"WANG,YU-JUAN","XU,JIAN-YE","NO.22 KAONAN ROAD. JENWU DIST KAOHSIUNG ,TAIWAN",07-3438301,07-3425116,irenehsu@juili.com.tw,http://www.juili.com.tw,irenehsu,irenehsu,07-3438301,irenehsu@juili.com.tw
